Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
571,tt4361050,2022-11-03,2022-11-03,,"Ouija: Origin of Evil","Ouija: Origin of Evil",https://www.imdb.com/title/tt4361050/,Movie,6.2,99,2016,"Drama, Horror, Mystery, Thriller",81484,2016-10-21,"Mike Flanagan",,
572,tt3811906,2022-11-03,2022-11-03,,"Malignant","Malignant",https://www.imdb.com/title/tt3811906/,Movie,6.2,111,2021,"Crime, Horror, Mystery",120224,2021-09-10,"James Wan",,
573,tt8656686,2022-11-04,2022-11-04,,"Run Sweetheart Run","Run Sweetheart Run",https://www.imdb.com/title/tt8656686/,Movie,5.5,104,2020,"Horror, Thriller",8997,2022-10-28,"Shana Feste",,
574,tt0265171,2022-11-04,2022-11-04,,"Elvira's Haunted Hills","Elvira's Haunted Hills",https://www.imdb.com/title/tt0265171/,Movie,5.6,90,2001,"Comedy, Horror",5594,2002-10-31,"Sam Irvin",,
575,tt22898826,2022-11-04,2022-11-04,,"The Last Drive-In with Joe Bob Briggs: Joe Bob's Haunted Halloween Hangout: Elvira's Haunted Hills","The Last Drive-In with Joe Bob Briggs: Joe Bob's Haunted Halloween Hangout: Elvira's Haunted Hills",https://www.imdb.com/title/tt22898826/,TV Episode,8.1,150,2022,"Comedy, Fantasy, Horror, Mystery, Sci-Fi, Talk-Show, Thriller",56,2022-10-21,,,
576,tt0102690,2022-11-04,2022-11-04,,"Popcorn","Popcorn",https://www.imdb.com/title/tt0102690/,Movie,5.9,91,1991,"Comedy, Horror",6995,1991-02-01,"Mark Herrier, Alan Ormsby",,
577,tt22898828,2022-11-04,2022-11-04,,"The Last Drive-In with Joe Bob Briggs: Joe Bob's Haunted Halloween Hangout: Popcorn","The Last Drive-In with Joe Bob Briggs: Joe Bob's Haunted Halloween Hangout: Popcorn",https://www.imdb.com/title/tt22898828/,TV Episode,8.6,166,2022,"Comedy, Fantasy, Horror, Mystery, Sci-Fi, Talk-Show, Thriller",53,2022-10-21,,,
578,tt6433880,2022-11-05,2022-11-05,,"Anna and the Apocalypse","Anna and the Apocalypse",https://www.imdb.com/title/tt6433880/,Movie,6.1,93,2017,"Comedy, Horror, Musical",17441,2018-11-30,"John McPhail",10,2022-11-05
579,tt12788488,2022-11-05,2022-11-05,,"Deadstream","Deadstream",https://www.imdb.com/title/tt12788488/,Movie,6.4,87,2022,"Comedy, Horror",23300,2022-10-06,"Joseph Winter, Vanessa Winter",7,2022-11-05
580,tt2160105,2022-11-10,2022-11-10,,"I Still See You","I Still See You",https://www.imdb.com/title/tt2160105/,Movie,5.8,98,2018,"Fantasy, Horror, Mystery, Sci-Fi, Thriller",12718,2018-10-12,"Scott Speer",,
581,tt0454919,2022-11-10,2022-11-10,,"Pulse","Pulse",https://www.imdb.com/title/tt0454919/,Movie,4.7,90,2006,"Horror, Sci-Fi, Thriller",32096,2006-08-11,"Jim Sonzero",5,2019-10-23
582,tt1524575,2022-11-10,2022-11-10,,"The Vatican Tapes","The Vatican Tapes",https://www.imdb.com/title/tt1524575/,Movie,4.7,91,2015,"Horror, Thriller",19899,2015-07-22,"Mark Neveldine",,
583,tt1560985,2022-11-10,2022-11-10,,"The Devil Inside","The Devil Inside",https://www.imdb.com/title/tt1560985/,Movie,4.2,83,2012,"Horror",38385,2012-01-06,"William Brent Bell",7,2022-11-10
584,tt1772264,2022-11-10,2022-11-10,,"Stonehearst Asylum","Stonehearst Asylum",https://www.imdb.com/title/tt1772264/,Movie,6.8,112,2014,"Drama, Horror, Mystery, Romance, Thriller",64207,2014-10-24,"Brad Anderson",,
585,tt2372251,2022-11-10,2022-11-10,,"Down a Dark Hall","Down a Dark Hall",https://www.imdb.com/title/tt2372251/,Movie,5.1,96,2018,"Drama, Fantasy, Horror, Mystery, Thriller",15542,2018-08-17,"Rodrigo Cortés",,
586,tt4761916,2022-11-10,2022-11-10,,"Unfriended: Dark Web","Unfriended: Dark Web",https://www.imdb.com/title/tt4761916/,Movie,6.0,92,2018,"Horror, Mystery, Thriller",42347,2018-07-20,"Stephen Susco",,
587,tt3713166,2022-11-10,2022-11-10,,"Unfriended","Unfriended",https://www.imdb.com/title/tt3713166/,Movie,5.6,83,2014,"Drama, Fantasy, Horror, Mystery, Thriller",86587,2015-04-17,"Levan Gabriadze",,
588,tt12749596,2022-11-10,2022-11-10,,"Host","Host",https://www.imdb.com/title/tt12749596/,Movie,6.5,57,2020,"Horror, Mystery",49108,2020-07-30,"Rob Savage",8,2022-11-10
589,tt0806203,2022-11-14,2022-11-14,,"Carriers","Carriers",https://www.imdb.com/title/tt0806203/,Movie,5.9,84,2009,"Adventure, Drama, Horror, Sci-Fi, Thriller",52838,2009-09-02,"David Pastor, Àlex Pastor",,
590,tt11866324,2022-11-14,2022-11-14,,"Prey","Prey",https://www.imdb.com/title/tt11866324/,Movie,7.1,100,2022,"Action, Adventure, Horror, Sci-Fi, Thriller",266981,2022-08-05,"Dan Trachtenberg",6,2022-11-14
591,tt0068230,2022-11-14,2022-11-14,,"Asylum","Asylum",https://www.imdb.com/title/tt0068230/,Movie,6.5,88,1972,"Horror",9064,1972-11-17,"Roy Ward Baker",,
592,tt0057993,2022-11-14,2022-11-14,,"Castle of Blood","Danza macabra",https://www.imdb.com/title/tt0057993/,Movie,6.8,87,1964,"Horror",3388,1964-02-27,"Antonio Margheriti, Sergio Corbucci",,
593,tt18925334,2022-11-17,2022-11-17,,"Pearl","Pearl",https://www.imdb.com/title/tt18925334/,Movie,7.0,103,2022,"Drama, Horror, Thriller",155393,2022-09-16,"Ti West",,
594,tt17196124,2022-11-17,2022-11-17,,"Grimcutty","Grimcutty",https://www.imdb.com/title/tt17196124/,Movie,4.3,101,2022,"Drama, Horror, Mystery, Thriller",8840,2022-10-10,"John Ross",,
595,tt0380066,2022-11-21,2022-11-21,,"The Woods","The Woods",https://www.imdb.com/title/tt0380066/,Movie,5.6,91,2006,"Horror, Mystery",13365,2006-01-01,"Lucky McKee",,
596,tt0862856,2022-11-22,2022-11-22,,"Trick 'r Treat","Trick 'r Treat",https://www.imdb.com/title/tt0862856/,Movie,6.7,82,2007,"Comedy, Horror",113803,2015-11-27,"Michael Dougherty",,
597,tt1853739,2022-11-22,2022-11-22,,"You're Next","You're Next",https://www.imdb.com/title/tt1853739/,Movie,6.6,95,2011,"Drama, Horror, Mystery, Thriller",118117,2013-08-23,"Adam Wingard",,
598,tt0780622,2022-11-22,2022-11-22,,"Teeth","Teeth",https://www.imdb.com/title/tt0780622/,Movie,5.4,94,2007,"Comedy, Fantasy, Horror, Thriller",49195,2008-04-03,"Mitchell Lichtenstein",,
599,tt11024272,2022-11-22,2022-11-22,,"The Babysitter: Killer Queen","The Babysitter: Killer Queen",https://www.imdb.com/title/tt11024272/,Movie,5.8,101,2020,"Comedy, Horror",58836,2020-09-10,"McG",,
600,tt8009906,2022-11-26,2022-11-26,,"The Cleansing Hour","The Cleansing Hour",https://www.imdb.com/title/tt8009906/,Movie,6.0,94,2019,"Drama, Fantasy, Horror, Mystery, Thriller",10765,2020-01-03,"Damien LeVeck",6,2022-10-28
601,tt2023587,2022-11-26,2022-11-26,,"Mama","Mama",https://www.imdb.com/title/tt2023587/,Movie,6.2,100,2013,"Fantasy, Horror, Thriller",198620,2013-01-18,"Andy Muschietti",8,2022-11-30
602,tt3174376,2022-11-26,2022-11-26,,"Before I Wake","Before I Wake",https://www.imdb.com/title/tt3174376/,Movie,6.2,97,2016,"Drama, Fantasy, Horror, Thriller",55689,2018-01-05,"Mike Flanagan",,
603,tt0795351,2022-11-26,2022-11-26,,"Case 39","Case 39",https://www.imdb.com/title/tt0795351/,Movie,6.2,109,2009,"Horror, Mystery, Thriller",98762,2010-10-01,"Christian Alvart",,
604,tt1457765,2022-11-26,2022-11-26,,"The Haunting in Connecticut 2: Ghosts of Georgia","The Haunting in Connecticut 2: Ghosts of Georgia",https://www.imdb.com/title/tt1457765/,Movie,5.3,100,2013,"Drama, Horror, Mystery, Thriller",19062,2013-02-01,"Tom Elkins",,
605,tt9419056,2022-11-26,2022-11-26,,"The Unholy","The Unholy",https://www.imdb.com/title/tt9419056/,Movie,5.1,99,2021,"Drama, Horror, Mystery, Thriller",30728,2021-04-02,"Evan Spiliotopoulos",,
606,tt0431021,2022-11-26,2022-11-26,,"The Possession","The Possession",https://www.imdb.com/title/tt0431021/,Movie,5.9,92,2012,"Horror, Mystery, Thriller",65577,2012-08-31,"Ole Bornedal",,
607,tt8119752,2022-11-26,2022-11-26,,"Gonjiam: Haunted Asylum","Gon-ji-am",https://www.imdb.com/title/tt8119752/,Movie,6.5,95,2018,"Horror, Mystery",23658,2018-03-28,"Jung Bum-shik",,
608,tt0963794,2022-11-26,2022-11-26,,"The Ruins","The Ruins",https://www.imdb.com/title/tt0963794/,Movie,5.9,90,2008,"Adventure, Horror, Thriller",90362,2008-04-04,"Carter Smith",,
609,tt5309954,2022-11-26,2022-11-26,,"Sadako vs. Kayako","Sadako vs Kayako",https://www.imdb.com/title/tt5309954/,Movie,5.1,98,2016,"Comedy, Horror",4347,2016-06-18,"Kôji Shiraishi",,
610,tt11514780,2022-11-26,2022-11-26,,"Choose or Die","Choose or Die",https://www.imdb.com/title/tt11514780/,Movie,4.8,84,2022,"Drama, Horror, Thriller",28507,2022-04-15,"Toby Meakins",,
611,tt1320244,2022-11-26,2022-11-26,,"The Last Exorcism","The Last Exorcism",https://www.imdb.com/title/tt1320244/,Movie,5.7,87,2010,"Horror, Mystery, Thriller",54095,2010-08-27,"Daniel Stamm",,
612,tt2383068,2022-11-26,2022-11-26,,"The Sacrament","The Sacrament",https://www.imdb.com/title/tt2383068/,Movie,6.1,99,2013,"Horror, Thriller",22824,2014-05-01,"Ti West",,
613,tt1843303,2022-11-26,2022-11-26,,"The VelociPastor","The VelociPastor",https://www.imdb.com/title/tt1843303/,Movie,5.1,75,2018,"Action, Adventure, Comedy, Fantasy, Horror, Sci-Fi, Thriller",11210,2019-08-13,"Brendan Steere",,
614,tt0355295,2022-11-26,2022-11-26,,"The Brothers Grimm","The Brothers Grimm",https://www.imdb.com/title/tt0355295/,Movie,5.9,118,2005,"Action, Adventure, Comedy, Fantasy, Horror, Mystery, Thriller",131104,2005-08-26,"Terry Gilliam",,
615,tt0076009,2022-11-26,2022-11-26,,"Exorcist II: The Heretic","Exorcist II: The Heretic",https://www.imdb.com/title/tt0076009/,Movie,3.8,117,1977,"Horror",30528,1977-06-17,"John Boorman, Rospo Pallenberg",,
616,tt0204313,2022-11-26,2022-11-26,,"Exorcist: The Beginning","Exorcist: The Beginning",https://www.imdb.com/title/tt0204313/,Movie,5.1,114,2004,"Horror, Mystery, Thriller",42202,2004-08-20,"Renny Harlin",,
617,tt11263022,2022-11-26,2022-11-26,,"The Seventh Day","The Seventh Day",https://www.imdb.com/title/tt11263022/,Movie,4.6,87,2021,"Horror, Mystery",6035,2021-03-26,"Justin P. Lange",,
618,tt3800796,2022-11-26,2022-11-26,,"The Exorcism of Molly Hartley","The Exorcism of Molly Hartley",https://www.imdb.com/title/tt3800796/,Video,4.6,96,2015,"Horror",4654,2015-10-09,"Steven R. Monroe",,
619,tt1857842,2022-11-28,2022-11-28,,"Inhuman Resources","Redd Inc.",https://www.imdb.com/title/tt1857842/,Movie,5.9,93,2012,"Horror, Thriller",3059,2012-11-03,"Daniel Krige",,
620,tt2386404,2022-11-28,2022-11-28,,"He Never Died","He Never Died",https://www.imdb.com/title/tt2386404/,Movie,6.3,99,2015,"Comedy, Drama, Fantasy, Horror, Thriller",23284,2015-12-18,"Jason Krawczyk",,
621,tt4030600,2022-11-28,2022-11-28,,"The Bye Bye Man","The Bye Bye Man",https://www.imdb.com/title/tt4030600/,Movie,4.3,96,2017,"Drama, Fantasy, Horror, Mystery, Thriller",27516,2017-01-13,"Stacy Title",,
622,tt8618718,2022-11-28,2022-11-28,,"Lake Artifact","Lake Artifact",https://www.imdb.com/title/tt8618718/,Movie,4.4,96,2019,"Comedy, Horror, Sci-Fi, Thriller",623,2020-11-14,"Bruce Wemple",,
623,tt0095488,2022-11-28,2022-11-28,,"The Lair of the White Worm","The Lair of the White Worm",https://www.imdb.com/title/tt0095488/,Movie,6.1,93,1988,"Comedy, Horror",17597,1988-10-21,"Ken Russell",,
624,tt5142400,2022-11-28,2022-11-28,,"The Book of Birdie","The Book of Birdie",https://www.imdb.com/title/tt5142400/,Movie,5.4,91,2017,"Fantasy, Horror",181,2018-10-02,"Elizabeth E. Schuch",7,2019-10-29
625,tt0068415,2022-11-28,2022-11-28,,"Seven Deaths in the Cats Eyes","La morte negli occhi del gatto",https://www.imdb.com/title/tt0068415/,Movie,5.7,95,1973,"Horror, Mystery, Thriller",1819,1973-04-12,"Antonio Margheriti",,
626,tt8430598,2022-11-28,2022-11-28,,"Shirley","Shirley",https://www.imdb.com/title/tt8430598/,Movie,6.1,107,2020,"Biography, Drama, Mystery, Thriller",14190,2020-06-05,"Josephine Decker",,
627,tt6857040,2022-11-28,2022-11-28,,"The Appearance","The Appearance",https://www.imdb.com/title/tt6857040/,Movie,4.8,111,2018,"Horror, Thriller",1471,2018-12-07,"Kurt Knight",8,2022-11-28
628,tt3417756,2022-11-29,2022-11-29,,"Shrew's Nest","Musarañas",https://www.imdb.com/title/tt3417756/,Movie,6.7,91,2014,"Drama, Horror, Thriller",8219,2014-12-25,"Juanfer Andrés, Esteban Roel",,
629,tt0093075,2022-11-29,2022-11-29,,"The Gate","The Gate",https://www.imdb.com/title/tt0093075/,Movie,6.1,85,1987,"Fantasy, Horror",21565,1987-05-15,"Tibor Takács",,
630,tt10800758,2022-11-30,2022-11-30,,"Metamorphosis","Byeonshin",https://www.imdb.com/title/tt10800758/,Movie,5.9,113,2019,"Horror, Thriller",2038,2019-08-21,"Hongsun Kim",,
631,tt9602472,2022-11-30,2022-11-30,,"Sissy","Sissy",https://www.imdb.com/title/tt9602472/,Movie,6.1,102,2022,"Comedy, Drama, Horror, Romance, Thriller",9473,2022-09-29,"Hannah Barlow, Kane Senes",,
632,tt15474916,2022-11-30,2022-11-30,,"Smile","Smile",https://www.imdb.com/title/tt15474916/,Movie,6.5,115,2022,"Horror, Mystery, Thriller",233738,2022-09-30,"Parker Finn",,
633,tt0397065,2022-11-30,2022-11-30,,"House of Wax","House of Wax",https://www.imdb.com/title/tt0397065/,Movie,5.5,113,2005,"Horror, Thriller",143870,2005-05-06,"Jaume Collet-Serra",,
634,tt0492044,2022-11-30,2022-11-30,,"The Haunting in Connecticut","The Haunting in Connecticut",https://www.imdb.com/title/tt0492044/,Movie,5.9,92,2009,"Drama, Horror, Mystery, Thriller",67618,2009-03-27,"Peter Cornwell",6,2022-10-29
635,tt13309978,2022-12-03,2022-12-03,,"Superhost","Superhost",https://www.imdb.com/title/tt13309978/,Movie,5.5,84,2021,"Comedy, Horror, Thriller",5359,2021-09-02,"Brandon Christensen",,
636,tt16540514,2022-12-03,2022-12-03,,"Deep Fear","Deep Fear",https://www.imdb.com/title/tt16540514/,Movie,5.1,80,2022,"Horror",1145,2022-10-11,"Grégory Beghin",,
637,tt2025667,2022-12-03,2022-12-03,,"Smiley","Smiley",https://www.imdb.com/title/tt2025667/,Movie,3.3,95,2012,"Horror, Mystery, Thriller",10214,2012-10-12,"Michael J. Gallagher",,
