Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
482,tt0348836,2020-08-08,2020-08-08,,"Gothika","Gothika",https://www.imdb.com/title/tt0348836/,Movie,5.8,98,2003,"Horror, Mystery, Thriller",123840,2003-11-21,"Mathieu Kassovitz",,
483,tt2309021,2020-08-08,2020-08-08,,"We Are What We Are","We Are What We Are",https://www.imdb.com/title/tt2309021/,Movie,5.9,105,2013,"Drama, Horror, Thriller",23075,2013-10-25,"Jim Mickle",7,2020-08-08
484,tt8510350,2020-08-08,2020-08-08,,"Satanic Panic","Satanic Panic",https://www.imdb.com/title/tt8510350/,Movie,5.6,85,2019,"Comedy, Horror",7425,2019-09-06,"Chelsea Stardust",7,2022-10-27
485,tt0418819,2020-08-08,2020-08-08,,"Land of the Dead","Land of the Dead",https://www.imdb.com/title/tt0418819/,Movie,6.2,93,2005,"Horror, Sci-Fi, Thriller",104407,2005-06-24,"George A. Romero",6,2019-06-19
486,tt0105428,2020-08-08,2020-08-08,,"Sleepwalkers","Sleepwalkers",https://www.imdb.com/title/tt0105428/,Movie,5.4,89,1992,"Fantasy, Horror",26578,1992-04-10,"Mick Garris",,
487,tt3387542,2020-08-08,2020-08-08,,"The Forest","The Forest",https://www.imdb.com/title/tt3387542/,Movie,4.8,93,2016,"Horror, Mystery, Thriller",47530,2016-01-08,"Jason Zada",,
488,tt0365376,2020-08-08,2020-08-08,,"A Tale of Two Sisters","Janghwa, Hongryeon",https://www.imdb.com/title/tt0365376/,Movie,7.1,114,2003,"Drama, Horror, Mystery, Thriller",73353,2003-06-13,"Kim Jee-woon",7,2020-08-08
489,tt0071994,2020-08-08,2020-08-08,,"Phantom of the Paradise","Phantom of the Paradise",https://www.imdb.com/title/tt0071994/,Movie,7.3,91,1974,"Comedy, Drama, Fantasy, Horror, Music, Romance, Thriller",25539,1974-11-01,"Brian De Palma",,
490,tt0089730,2020-08-08,2020-08-08,,"Once Bitten","Once Bitten",https://www.imdb.com/title/tt0089730/,Movie,5.6,94,1985,"Comedy, Horror",19142,1985-11-15,"Howard Storm",,
491,tt2870612,2020-08-19,2020-08-19,,"As Above, So Below","As Above, So Below",https://www.imdb.com/title/tt2870612/,Movie,6.3,93,2014,"Adventure, Horror, Mystery, Thriller",128296,2014-08-29,"John Erick Dowdle",8,2022-10-28
492,tt8329290,2020-08-19,2020-08-19,,"The Golem","The Golem",https://www.imdb.com/title/tt8329290/,Movie,5.5,95,2018,"Drama, Horror",6189,2019-02-01,"Doron Paz, Yoav Paz",7,2019-07-03
493,tt5862312,2020-08-19,2020-08-19,,"Veronica","Verónica",https://www.imdb.com/title/tt5862312/,Movie,6.2,105,2017,"Horror, Mystery",52348,2017-08-25,"Paco Plaza",8,2019-11-27
494,tt1999995,2020-08-19,2020-08-19,,"Would You Rather","Would You Rather",https://www.imdb.com/title/tt1999995/,Movie,5.7,93,2012,"Horror, Thriller",49327,2019-06-06,"David Guy Levy",6,2019-06-19
495,tt5700672,2020-08-19,2020-08-19,,"Train to Busan","Busanhaeng",https://www.imdb.com/title/tt5700672/,Movie,7.6,118,2016,"Action, Horror, Thriller",300057,2016-07-20,"Yeon Sang-ho",7,2019-10-23
496,tt0103919,2020-08-19,2020-08-19,,"Candyman","Candyman",https://www.imdb.com/title/tt0103919/,Movie,6.7,99,1992,"Horror, Thriller",108593,1992-10-16,"Bernard Rose",,
497,tt5022702,2020-08-19,2020-08-19,,"Hush","Hush",https://www.imdb.com/title/tt5022702/,Movie,6.6,82,2016,"Horror, Thriller",167740,2016-04-08,"Mike Flanagan",9,2019-10-19
498,tt0083907,2020-08-19,2020-08-19,,"The Evil Dead","The Evil Dead",https://www.imdb.com/title/tt0083907/,Movie,7.3,85,1981,"Horror",248955,1983-04-15,"Sam Raimi",8,2019-10-19
